Month,Variable,NaN_Count
02,median_10m_v_component_of_wind,10416
02,p25_10m_v_component_of_wind,10416
02,p75_10m_v_component_of_wind,10416
02,avg_lake_shape_factor,10416
02,max_lake_shape_factor,10416
02,min_lake_shape_factor,10416
02,median_lake_shape_factor,10416
02,p25_lake_shape_factor,10416
02,p75_lake_shape_factor,10416
02,avg_leaf_area_index_low_vegetation,10416
02,max_leaf_area_index_low_vegetation,10416
02,min_leaf_area_index_low_vegetation,10416
02,median_leaf_area_index_low_vegetation,10416
02,p25_leaf_area_index_low_vegetation,10416
02,p75_leaf_area_index_low_vegetation,10416
02,avg_leaf_area_index_high_vegetation,10416
02,max_leaf_area_index_high_vegetation,10416
02,min_leaf_area_index_high_vegetation,10416
02,median_leaf_area_index_high_vegetation,10416
02,p25_leaf_area_index_high_vegetation,10416
02,p75_leaf_area_index_high_vegetation,10416
02,avg_surface_pressure,10416
02,max_surface_pressure,10416
02,min_surface_pressure,10416
02,median_surface_pressure,10416
02,p25_surface_pressure,10416
02,p75_surface_pressure,10416
03,lat,0
03,lon,0
03,time,0
03,avg_2m_temperature,11532
03,max_2m_temperature,11532
03,min_2m_temperature,11532
03,median_2m_temperature,11532
03,p25_2m_temperature,11532
03,p75_2m_temperature,11532
03,prcp_total,11532
03,avg_10m_u_component_of_wind,11532
03,max_10m_u_component_of_wind,11532
03,min_10m_u_component_of_wind,11532
03,median_10m_u_component_of_wind,11532
03,p25_10m_u_component_of_wind,11532
03,p75_10m_u_component_of_wind,11532
03,avg_10m_v_component_of_wind,11532
03,max_10m_v_component_of_wind,11532
03,min_10m_v_component_of_wind,11532
03,median_10m_v_component_of_wind,11532
03,p25_10m_v_component_of_wind,11532
03,p75_10m_v_component_of_wind,11532
03,avg_lake_shape_factor,11532
03,max_lake_shape_factor,11532
03,min_lake_shape_factor,11532
03,median_lake_shape_factor,11532
03,p25_lake_shape_factor,11532
03,p75_lake_shape_factor,11532
03,avg_leaf_area_index_low_vegetation,11532
03,max_leaf_area_index_low_vegetation,11532
03,min_leaf_area_index_low_vegetation,11532
03,median_leaf_area_index_low_vegetation,11532
03,p25_leaf_area_index_low_vegetation,11532
03,p75_leaf_area_index_low_vegetation,11532
03,avg_leaf_area_index_high_vegetation,11532
03,max_leaf_area_index_high_vegetation,11532
03,min_leaf_area_index_high_vegetation,11532
03,median_leaf_area_index_high_vegetation,11532
03,p25_leaf_area_index_high_vegetation,11532
03,p75_leaf_area_index_high_vegetation,11532
03,avg_surface_pressure,11532
03,max_surface_pressure,11532
03,min_surface_pressure,11532
03,median_surface_pressure,11532
03,p25_surface_pressure,11532
03,p75_surface_pressure,11532
04,lat,0
04,lon,0
04,time,0
04,avg_2m_temperature,11160
04,max_2m_temperature,11160
04,min_2m_temperature,11160
04,median_2m_temperature,11160
04,p25_2m_temperature,11160
04,p75_2m_temperature,11160
04,prcp_total,11160
04,avg_10m_u_component_of_wind,11160
04,max_10m_u_component_of_wind,11160
04,min_10m_u_component_of_wind,11160
04,median_10m_u_component_of_wind,11160
04,p25_10m_u_component_of_wind,11160
04,p75_10m_u_component_of_wind,11160
04,avg_10m_v_component_of_wind,11160
04,max_10m_v_component_of_wind,11160
04,min_10m_v_component_of_wind,11160
04,median_10m_v_component_of_wind,11160
04,p25_10m_v_component_of_wind,11160
04,p75_10m_v_component_of_wind,11160
04,avg_lake_shape_factor,11160
04,max_lake_shape_factor,11160
04,min_lake_shape_factor,11160
04,median_lake_shape_factor,11160
04,p25_lake_shape_factor,11160
04,p75_lake_shape_factor,11160
04,avg_leaf_area_index_low_vegetation,11160
04,max_leaf_area_index_low_vegetation,11160
04,min_leaf_area_index_low_vegetation,11160
04,median_leaf_area_index_low_vegetation,11160
04,p25_leaf_area_index_low_vegetation,11160
04,p75_leaf_area_index_low_vegetation,11160
04,avg_leaf_area_index_high_vegetation,11160
04,max_leaf_area_index_high_vegetation,11160
04,min_leaf_area_index_high_vegetation,11160
04,median_leaf_area_index_high_vegetation,11160
04,p25_leaf_area_index_high_vegetation,11160
04,p75_leaf_area_index_high_vegetation,11160
04,avg_surface_pressure,11160
04,max_surface_pressure,11160
04,min_surface_pressure,11160
04,median_surface_pressure,11160
04,p25_surface_pressure,11160
04,p75_surface_pressure,11160
05,lat,0
05,lon,0
05,time,0
05,avg_2m_temperature,11532
05,max_2m_temperature,11532
05,min_2m_temperature,11532
05,median_2m_temperature,11532
05,p25_2m_temperature,11532
05,p75_2m_temperature,11532
05,prcp_total,11532
05,avg_10m_u_component_of_wind,11532
05,max_10m_u_component_of_wind,11532
05,min_10m_u_component_of_wind,11532
05,median_10m_u_component_of_wind,11532
05,p25_10m_u_component_of_wind,11532
05,p75_10m_u_component_of_wind,11532
05,avg_10m_v_component_of_wind,11532
05,max_10m_v_component_of_wind,11532
05,min_10m_v_component_of_wind,11532
05,median_10m_v_component_of_wind,11532
05,p25_10m_v_component_of_wind,11532
05,p75_10m_v_component_of_wind,11532
05,avg_lake_shape_factor,11532
05,max_lake_shape_factor,11532
05,min_lake_shape_factor,11532
05,median_lake_shape_factor,11532
05,p25_lake_shape_factor,11532
05,p75_lake_shape_factor,11532
05,avg_leaf_area_index_low_vegetation,11532
05,max_leaf_area_index_low_vegetation,11532
05,min_leaf_area_index_low_vegetation,11532
05,median_leaf_area_index_low_vegetation,11532
05,p25_leaf_area_index_low_vegetation,11532
05,p75_leaf_area_index_low_vegetation,11532
05,avg_leaf_area_index_high_vegetation,11532
05,max_leaf_area_index_high_vegetation,11532
05,min_leaf_area_index_high_vegetation,11532
05,median_leaf_area_index_high_vegetation,11532
05,p25_leaf_area_index_high_vegetation,11532
05,p75_leaf_area_index_high_vegetation,11532
05,avg_surface_pressure,11532
05,max_surface_pressure,11532
05,min_surface_pressure,11532
05,median_surface_pressure,11532
05,p25_surface_pressure,11532
05,p75_surface_pressure,11532
06,lat,0
06,lon,0
06,time,0
06,avg_2m_temperature,11160
06,max_2m_temperature,11160
06,min_2m_temperature,11160
06,median_2m_temperature,11160
06,p25_2m_temperature,11160
06,p75_2m_temperature,11160
06,prcp_total,11160
06,avg_10m_u_component_of_wind,11160
06,max_10m_u_component_of_wind,11160
06,min_10m_u_component_of_wind,11160
06,median_10m_u_component_of_wind,11160
06,p25_10m_u_component_of_wind,11160
06,p75_10m_u_component_of_wind,11160
06,avg_10m_v_component_of_wind,11160
06,max_10m_v_component_of_wind,11160
06,min_10m_v_component_of_wind,11160
06,median_10m_v_component_of_wind,11160
06,p25_10m_v_component_of_wind,11160
06,p75_10m_v_component_of_wind,11160
06,avg_lake_shape_factor,11160
06,max_lake_shape_factor,11160
06,min_lake_shape_factor,11160
06,median_lake_shape_factor,11160
06,p25_lake_shape_factor,11160
06,p75_lake_shape_factor,11160
06,avg_leaf_area_index_low_vegetation,11160
06,max_leaf_area_index_low_vegetation,11160
06,min_leaf_area_index_low_vegetation,11160
06,median_leaf_area_index_low_vegetation,11160
06,p25_leaf_area_index_low_vegetation,11160
06,p75_leaf_area_index_low_vegetation,11160
06,avg_leaf_area_index_high_vegetation,11160
06,max_leaf_area_index_high_vegetation,11160
06,min_leaf_area_index_high_vegetation,11160
06,median_leaf_area_index_high_vegetation,11160
06,p25_leaf_area_index_high_vegetation,11160
06,p75_leaf_area_index_high_vegetation,11160
06,avg_surface_pressure,11160
06,max_surface_pressure,11160
06,min_surface_pressure,11160
06,median_surface_pressure,11160
06,p25_surface_pressure,11160
06,p75_surface_pressure,11160
07,lat,0
07,lon,0
07,time,0
07,avg_2m_temperature,11532
07,max_2m_temperature,11532
07,min_2m_temperature,11532
07,median_2m_temperature,11532
07,p25_2m_temperature,11532
07,p75_2m_temperature,11532
07,prcp_total,11532
07,avg_10m_u_component_of_wind,11532
07,max_10m_u_component_of_wind,11532
07,min_10m_u_component_of_wind,11532
07,median_10m_u_component_of_wind,11532
07,p25_10m_u_component_of_wind,11532
07,p75_10m_u_component_of_wind,11532
07,avg_10m_v_component_of_wind,11532
07,max_10m_v_component_of_wind,11532
07,min_10m_v_component_of_wind,11532
07,median_10m_v_component_of_wind,11532
07,p25_10m_v_component_of_wind,11532
07,p75_10m_v_component_of_wind,11532
07,avg_lake_shape_factor,11532
07,max_lake_shape_factor,11532
07,min_lake_shape_factor,11532
07,median_lake_shape_factor,11532
07,p25_lake_shape_factor,11532
07,p75_lake_shape_factor,11532
07,avg_leaf_area_index_low_vegetation,11532
07,max_leaf_area_index_low_vegetation,11532
07,min_leaf_area_index_low_vegetation,11532
07,median_leaf_area_index_low_vegetation,11532
07,p25_leaf_area_index_low_vegetation,11532
07,p75_leaf_area_index_low_vegetation,11532
07,avg_leaf_area_index_high_vegetation,11532
07,max_leaf_area_index_high_vegetation,11532
07,min_leaf_area_index_high_vegetation,11532
07,median_leaf_area_index_high_vegetation,11532
07,p25_leaf_area_index_high_vegetation,11532
07,p75_leaf_area_index_high_vegetation,11532
07,avg_surface_pressure,11532
07,max_surface_pressure,11532
07,min_surface_pressure,11532
07,median_surface_pressure,11532
07,p25_surface_pressure,11532
07,p75_surface_pressure,11532
08,lat,0
08,lon,0
08,time,0
08,avg_2m_temperature,11532
08,max_2m_temperature,11532
08,min_2m_temperature,11532
08,median_2m_temperature,11532
08,p25_2m_temperature,11532
08,p75_2m_temperature,11532
08,prcp_total,11532
08,avg_10m_u_component_of_wind,11532
08,max_10m_u_component_of_wind,11532
08,min_10m_u_component_of_wind,11532
08,median_10m_u_component_of_wind,11532
08,p25_10m_u_component_of_wind,11532
08,p75_10m_u_component_of_wind,11532
08,avg_10m_v_component_of_wind,11532
08,max_10m_v_component_of_wind,11532
08,min_10m_v_component_of_wind,11532
08,median_10m_v_component_of_wind,11532
08,p25_10m_v_component_of_wind,11532
08,p75_10m_v_component_of_wind,11532
08,avg_lake_shape_factor,11532
08,max_lake_shape_factor,11532
08,min_lake_shape_factor,11532
08,median_lake_shape_factor,11532
08,p25_lake_shape_factor,11532
08,p75_lake_shape_factor,11532
08,avg_leaf_area_index_low_vegetation,11532
08,max_leaf_area_index_low_vegetation,11532
08,min_leaf_area_index_low_vegetation,11532
08,median_leaf_area_index_low_vegetation,11532
08,p25_leaf_area_index_low_vegetation,11532
08,p75_leaf_area_index_low_vegetation,11532
08,avg_leaf_area_index_high_vegetation,11532
08,max_leaf_area_index_high_vegetation,11532
08,min_leaf_area_index_high_vegetation,11532
08,median_leaf_area_index_high_vegetation,11532
08,p25_leaf_area_index_high_vegetation,11532
08,p75_leaf_area_index_high_vegetation,11532
08,avg_surface_pressure,11532
08,max_surface_pressure,11532
08,min_surface_pressure,11532
08,median_surface_pressure,11532
08,p25_surface_pressure,11532
08,p75_surface_pressure,11532
09,lat,0
09,lon,0
09,time,0
09,avg_2m_temperature,11160
09,max_2m_temperature,11160
09,min_2m_temperature,11160
09,median_2m_temperature,11160
09,p25_2m_temperature,11160
09,p75_2m_temperature,11160
09,prcp_total,11160
09,avg_10m_u_component_of_wind,11160
09,max_10m_u_component_of_wind,11160
09,min_10m_u_component_of_wind,11160
09,median_10m_u_component_of_wind,11160
09,p25_10m_u_component_of_wind,11160
09,p75_10m_u_component_of_wind,11160
09,avg_10m_v_component_of_wind,11160
09,max_10m_v_component_of_wind,11160
09,min_10m_v_component_of_wind,11160
09,median_10m_v_component_of_wind,11160
09,p25_10m_v_component_of_wind,11160
09,p75_10m_v_component_of_wind,11160
09,avg_lake_shape_factor,11160
09,max_lake_shape_factor,11160
09,min_lake_shape_factor,11160
09,median_lake_shape_factor,11160
09,p25_lake_shape_factor,11160
09,p75_lake_shape_factor,11160
09,avg_leaf_area_index_low_vegetation,11160
09,max_leaf_area_index_low_vegetation,11160
09,min_leaf_area_index_low_vegetation,11160
09,median_leaf_area_index_low_vegetation,11160
09,p25_leaf_area_index_low_vegetation,11160
09,p75_leaf_area_index_low_vegetation,11160
09,avg_leaf_area_index_high_vegetation,11160
09,max_leaf_area_index_high_vegetation,11160
09,min_leaf_area_index_high_vegetation,11160
09,median_leaf_area_index_high_vegetation,11160
09,p25_leaf_area_index_high_vegetation,11160
09,p75_leaf_area_index_high_vegetation,11160
09,avg_surface_pressure,11160
09,max_surface_pressure,11160
09,min_surface_pressure,11160
09,median_surface_pressure,11160
09,p25_surface_pressure,11160
09,p75_surface_pressure,11160
10,lat,0
10,lon,0
10,time,0
10,avg_2m_temperature,11532
10,max_2m_temperature,11532
10,min_2m_temperature,11532
10,median_2m_temperature,11532
10,p25_2m_temperature,11532
10,p75_2m_temperature,11532
10,prcp_total,11532
10,avg_10m_u_component_of_wind,11532
10,max_10m_u_component_of_wind,11532
10,min_10m_u_component_of_wind,11532
10,median_10m_u_component_of_wind,11532
10,p25_10m_u_component_of_wind,11532
10,p75_10m_u_component_of_wind,11532
10,avg_10m_v_component_of_wind,11532
10,max_10m_v_component_of_wind,11532
10,min_10m_v_component_of_wind,11532
10,median_10m_v_component_of_wind,11532
10,p25_10m_v_component_of_wind,11532
10,p75_10m_v_component_of_wind,11532
10,avg_lake_shape_factor,11532
10,max_lake_shape_factor,11532
10,min_lake_shape_factor,11532
10,median_lake_shape_factor,11532
10,p25_lake_shape_factor,11532
10,p75_lake_shape_factor,11532
10,avg_leaf_area_index_low_vegetation,11532
10,max_leaf_area_index_low_vegetation,11532
10,min_leaf_area_index_low_vegetation,11532
10,median_leaf_area_index_low_vegetation,11532
10,p25_leaf_area_index_low_vegetation,11532
10,p75_leaf_area_index_low_vegetation,11532
10,avg_leaf_area_index_high_vegetation,11532
10,max_leaf_area_index_high_vegetation,11532
10,min_leaf_area_index_high_vegetation,11532
10,median_leaf_area_index_high_vegetation,11532
10,p25_leaf_area_index_high_vegetation,11532
10,p75_leaf_area_index_high_vegetation,11532
10,avg_surface_pressure,11532
10,max_surface_pressure,11532
10,min_surface_pressure,11532
10,median_surface_pressure,11532
10,p25_surface_pressure,11532
10,p75_surface_pressure,11532
11,lat,0
11,lon,0
11,time,0
11,avg_2m_temperature,11160
11,max_2m_temperature,11160
11,min_2m_temperature,11160
11,median_2m_temperature,11160
11,p25_2m_temperature,11160
11,p75_2m_temperature,11160
11,prcp_total,11160
11,avg_10m_u_component_of_wind,11160
11,max_10m_u_component_of_wind,11160
11,min_10m_u_component_of_wind,11160
11,median_10m_u_component_of_wind,11160
11,p25_10m_u_component_of_wind,11160
11,p75_10m_u_component_of_wind,11160
11,avg_10m_v_component_of_wind,11160
11,max_10m_v_component_of_wind,11160
11,min_10m_v_component_of_wind,11160
11,median_10m_v_component_of_wind,11160
11,p25_10m_v_component_of_wind,11160
11,p75_10m_v_component_of_wind,11160
11,avg_lake_shape_factor,11160
11,max_lake_shape_factor,11160
11,min_lake_shape_factor,11160
11,median_lake_shape_factor,11160
11,p25_lake_shape_factor,11160
11,p75_lake_shape_factor,11160
11,avg_leaf_area_index_low_vegetation,11160
11,max_leaf_area_index_low_vegetation,11160
11,min_leaf_area_index_low_vegetation,11160
11,median_leaf_area_index_low_vegetation,11160
11,p25_leaf_area_index_low_vegetation,11160
11,p75_leaf_area_index_low_vegetation,11160
11,avg_leaf_area_index_high_vegetation,11160
11,max_leaf_area_index_high_vegetation,11160
11,min_leaf_area_index_high_vegetation,11160
11,median_leaf_area_index_high_vegetation,11160
11,p25_leaf_area_index_high_vegetation,11160
11,p75_leaf_area_index_high_vegetation,11160
11,avg_surface_pressure,11160
11,max_surface_pressure,11160
11,min_surface_pressure,11160
11,median_surface_pressure,11160
11,p25_surface_pressure,11160
11,p75_surface_pressure,11160
12,lat,0
12,lon,0
12,time,0
12,avg_2m_temperature,11532
12,max_2m_temperature,11532
12,min_2m_temperature,11532
12,median_2m_temperature,11532
12,p25_2m_temperature,11532
12,p75_2m_temperature,11532
12,prcp_total,11532
12,avg_10m_u_component_of_wind,11532
12,max_10m_u_component_of_wind,11532
12,min_10m_u_component_of_wind,11532
12,median_10m_u_component_of_wind,11532
12,p25_10m_u_component_of_wind,11532
12,p75_10m_u_component_of_wind,11532
12,avg_10m_v_component_of_wind,11532
12,max_10m_v_component_of_wind,11532
12,min_10m_v_component_of_wind,11532
12,median_10m_v_component_of_wind,11532
12,p25_10m_v_component_of_wind,11532
12,p75_10m_v_component_of_wind,11532
12,avg_lake_shape_factor,11532
12,max_lake_shape_factor,11532
12,min_lake_shape_factor,11532
12,median_lake_shape_factor,11532
12,p25_lake_shape_factor,11532
12,p75_lake_shape_factor,11532
12,avg_leaf_area_index_low_vegetation,11532
12,max_leaf_area_index_low_vegetation,11532
12,min_leaf_area_index_low_vegetation,11532
12,median_leaf_area_index_low_vegetation,11532
12,p25_leaf_area_index_low_vegetation,11532
12,p75_leaf_area_index_low_vegetation,11532
12,avg_leaf_area_index_high_vegetation,11532
12,max_leaf_area_index_high_vegetation,11532
12,min_leaf_area_index_high_vegetation,11532
12,median_leaf_area_index_high_vegetation,11532
12,p25_leaf_area_index_high_vegetation,11532
12,p75_leaf_area_index_high_vegetation,11532
12,avg_surface_pressure,11532
12,max_surface_pressure,11532
12,min_surface_pressure,11532
12,median_surface_pressure,11532
12,p25_surface_pressure,11532
12,p75_surface_pressure,11532
